,minimum volatility monthly,maximum sharpe ratio monthly,minimum volatility yearly,maximum sharpe ratio yearly
2014-02-11,0.6507441004924805,1.1744250302729595,0.3296380843267439,0.8455191615371687
2014-02-12,0.6521128432292969,1.1647184756255142,0.3331571827764508,0.8421112006607039
2014-02-13,0.6541389387531311,1.1765055591311442,0.3439518992404933,0.8634158880653364
2014-02-14,0.6635826798000366,1.1881836098971363,0.35233267278289726,0.8782695443725572
2014-02-18,0.6561968086071044,1.2122638225226394,0.36074953123283326,0.9064720320930464
2014-02-19,0.6457979365367919,1.2000155029368393,0.3524123947954172,0.9023882104606611
2014-02-20,0.6605280335330992,1.2351254927172648,0.36458044901370945,0.9315424435081465
2014-02-21,0.6616309092350035,1.258483152616023,0.36593072765064183,0.9545533480567914
2014-02-24,0.662487754941943,1.2757399700331673,0.37336465906810723,0.9809463778152452
2014-02-25,0.652898322530749,1.2546699482493384,0.3615185107088086,0.9755523603172287
2014-02-26,0.6372014175815608,1.2560764903693187,0.357838829319,0.9971114963798511
2014-02-27,0.6463580535984064,1.2568857023291575,0.3628917460498806,0.9936917682647692
2014-02-28,0.6563497538242364,1.2625969848837841,0.3645657218856806,0.9981934664573657
2014-03-03,0.646148930429461,1.2604686386580455,0.36166765774822185,0.9907165472412098
2014-03-04,0.6642362026233699,1.2920943132147782,0.3791311868772502,1.0193324942626938
2014-03-05,0.6647476147136715,1.2635684760603896,0.3813722769269938,0.9896173607063279
2014-03-06,0.6591462003498103,1.2515433235259046,0.37596352750587414,0.9791810974578841
2014-03-07,0.6637944284610773,1.2630809692091929,0.37674537642765027,0.9896378350028976
2014-03-10,0.6602395319042234,1.250958090581416,0.37568467982959697,0.9800211255607589
2014-03-11,0.6547332263813046,1.2351562633872017,0.37075746282863586,0.9638793613090502
2014-03-12,0.6605719400692016,1.2516325873236642,0.37042639162349644,0.9795599045524583
2014-03-13,0.6486946966533691,1.22866948146963,0.35371062543106024,0.9570250025444016
2014-03-14,0.6546818697185546,1.2349936383261668,0.3562895017127987,0.9636819856452927
2014-03-17,0.6614497478733095,1.2544499012999522,0.3614949136676784,0.9809693874359116
2014-03-18,0.6647849620838198,1.2910774069800364,0.3658769650936122,1.0157728277740463
2014-03-19,0.6464560282039675,1.257731254296778,0.35181028340339626,0.9822708768424975
2014-03-20,0.6458176392955814,1.272771795941828,0.349299478151321,0.9941276855239851
2014-03-21,0.6466555050411258,1.2484259522795664,0.34534763735580376,0.9645557906341538
2014-03-24,0.6304616462345158,1.226118669061183,0.3313107646636957,0.9462152363433822
2014-03-25,0.6339213296527897,1.2256342409224499,0.3341336688661567,0.9463386794090254
2014-03-26,0.626845165372852,1.2209229005637159,0.3285821400585167,0.9409111330642685
2014-03-27,0.6320659976902041,1.2614420753378859,0.3316368557929985,0.9785655615730271
2014-03-28,0.6362573015880617,1.2915010943579666,0.33429975145721347,1.007249371883391
2014-03-31,0.6535485292377501,1.2749916717123977,0.34988805851459426,0.9901470780143726
2014-04-01,0.6539671557178528,1.2855347182211871,0.35393233382797185,1.000954110080718
2014-04-02,0.6578491704139742,1.3248551222281448,0.35226462632369926,1.033860448585509
2014-04-03,0.6529693409023318,1.3092989873862262,0.34581740963745067,1.011160391189574
2014-04-04,0.6353361521148713,1.2676052815909378,0.32981412664604126,0.9789189790458668
2014-04-07,0.6158225254020724,1.208437437081813,0.31779272572135886,0.9272202238311755
2014-04-08,0.622217761184696,1.2290287079749103,0.31458114447593655,0.9574526841125475
2014-04-09,0.6377419667549171,1.2747957704443924,0.3234422612304684,1.000075949188231
2014-04-10,0.6056285621719397,1.19859204258871,0.29995451762199377,0.9383994689521773
2014-04-11,0.5958959017028844,1.204471135884761,0.28838644946861214,0.9413677869262682
2014-04-14,0.6095362009010348,1.2508316893820757,0.29590213824367484,0.984878644248961
2014-04-15,0.6158237606544525,1.2487075224356645,0.300602151947021,0.9763676190261827
2014-04-16,0.6287818780384093,1.281261102918147,0.312388480226516,1.0116160128135667
2014-04-17,0.6235769797382387,1.323922084348201,0.3118614011735912,1.0514730804557781
2014-04-21,0.6314683390922575,1.3518919700903886,0.3179995173435204,1.0738869103050215
2014-04-22,0.6349916595191984,1.3617199470725057,0.32039951067352224,1.087338115440367
2014-04-23,0.6408727755508452,1.3589302700247758,0.3247084087924952,1.0773712344741804
2014-04-24,0.6462432246704131,1.3723919287314406,0.3143767189645763,1.0959942109031657
2014-04-25,0.6438044516601591,1.2986630341849326,0.3090473975858683,1.0221386880912764
2014-04-28,0.6565226869316125,1.2978653633093828,0.31611238714122725,1.0096141112594585
2014-04-29,0.6588001854629539,1.3180349969382283,0.3139293881015772,1.0348873596496562
2014-04-30,0.6687324914646169,1.3294028189215656,0.32416462777233046,1.040301886150358
2014-05-01,0.66311762102318,1.3117765118231772,0.31716855875968863,1.027315547241209
2014-05-02,0.6522414684848803,1.3495941636328697,0.32301678856372784,1.0757192954483008
2014-05-05,0.6582994933338184,1.3475892406973835,0.3284212214908595,1.0787648033523531
2014-05-06,0.6474814811038991,1.3337935069212907,0.3197255419883722,1.0653067144775363
2014-05-07,0.6605639002475758,1.3777023016791339,0.3325375673828119,1.087105392250058
2014-05-08,0.6519459710044879,1.315082979600429,0.3330892982225413,1.0259925548324555
2014-05-09,0.6474127115821857,1.3078917653746602,0.3390290155534741,1.0242504244575472
2014-05-12,0.6500501365127584,1.3435842575354577,0.3500661060075754,1.0644075272140476
2014-05-13,0.6485625815296194,1.3570959076972007,0.34731931025409635,1.0743595111618012
2014-05-14,0.6435790387573264,1.3285068326010703,0.3388807039871211,1.0412197492637603
2014-05-15,0.6285946663684865,1.2805014245467188,0.32285802604007663,0.9943138966331448
2014-05-16,0.6325102494239827,1.30124386580801,0.3258539260997768,1.0152024943389857
2014-05-19,0.6290164341392537,1.3224177724585537,0.333030264519691,1.0297462024078339
2014-05-20,0.6230216875896475,1.2996207560324677,0.32710766610145536,1.0086340696525538
2014-05-21,0.6339170524883289,1.3393438315634736,0.3333938521575923,1.0509255041084256
2014-05-22,0.6429987538242359,1.3533570897536285,0.3371302242040628,1.070396513931271
2014-05-23,0.6465960516376512,1.3603873385214813,0.33906089771842884,1.07764758765411
2014-05-27,0.6476173161811847,1.3403765163550383,0.33603647222614197,1.0653096157836872
2014-05-28,0.6561040631656665,1.3432190657973293,0.3380984627504342,1.0621577022132835
2014-05-29,0.6554770014324205,1.3967898787398338,0.3374867982988352,1.113959832187649
2014-05-30,0.6719864180202502,1.4072980045638084,0.3448635564622873,1.1183852589454615
2014-06-02,0.6718980292110459,1.4204397784667013,0.3433929892597192,1.1293084994811973
2014-06-03,0.6765275311355605,1.4495109191412925,0.33999545020008015,1.1570426778335534
2014-06-04,0.6872798497018828,1.4607029944357874,0.3494907470808022,1.1631033120536767
2014-06-05,0.689641580891611,1.4730251426405907,0.3497495225667948,1.1762944738807644
2014-06-06,0.6900692550678269,1.5105805777792929,0.35626298197746187,1.2114390076942403
2014-06-09,0.6813565723047272,1.5105214371123314,0.35499593100356974,1.219115556663509
2014-06-10,0.677896157092096,1.5086547231383323,0.3510037941503519,1.2177314384536704
2014-06-11,0.6596421971588151,1.5235549443297383,0.34506738890838573,1.2377257841682394
2014-06-12,0.6475280489187258,1.516415118657589,0.3377554538650507,1.2395735503845176
2014-06-13,0.6563928132276553,1.5668278608679769,0.3419655423507686,1.2849475147476155
2014-06-16,0.6603715887212769,1.5933332039999963,0.34558654915714215,1.309710687091823
2014-06-17,0.6616484353170413,1.6014648831114773,0.3479875573682778,1.3108213058471638
