,datatime,volume
538,2012-02-22,3633710000
539,2012-02-23,3786450000
540,2012-02-24,3505360000
541,2012-02-27,3648890000
542,2012-02-28,3579120000
543,2012-02-29,4482370000
544,2012-03-01,3919240000
545,2012-03-02,3283490000
546,2012-03-05,3429480000
547,2012-03-06,4191060000
548,2012-03-07,3580380000
549,2012-03-08,3543060000
550,2012-03-09,3639470000
551,2012-03-12,3081870000
552,2012-03-13,4386470000
553,2012-03-14,4502280000
554,2012-03-15,4271650000
555,2012-03-16,5163950000
556,2012-03-19,3932570000
557,2012-03-20,3695280000
558,2012-03-21,3573590000
559,2012-03-22,3740590000
560,2012-03-23,3472950000
561,2012-03-26,3576950000
562,2012-03-27,3513640000
563,2012-03-28,3892800000
564,2012-03-29,3832000000
565,2012-03-30,3676890000
566,2012-04-02,3572010000
567,2012-04-03,3822090000
568,2012-04-04,3938290000
569,2012-04-05,3303740000
570,2012-04-09,3468980000
571,2012-04-10,4631730000
572,2012-04-11,3743040000
573,2012-04-12,3618280000
574,2012-04-13,3631160000
575,2012-04-16,3574780000
576,2012-04-17,3456200000
577,2012-04-18,3463140000
578,2012-04-19,4180020000
579,2012-04-20,3833320000
580,2012-04-23,3654860000
581,2012-04-24,3617100000
582,2012-04-25,3998430000
583,2012-04-26,4034700000
584,2012-04-27,3645830000
585,2012-04-30,3574010000
586,2012-05-01,3807950000
587,2012-05-02,3803860000
588,2012-05-03,4004910000
589,2012-05-04,3975140000
590,2012-05-07,3559390000
591,2012-05-08,4261670000
592,2012-05-09,4288540000
593,2012-05-10,3727990000
594,2012-05-11,3869070000
595,2012-05-14,3688120000
596,2012-05-15,4114040000
597,2012-05-16,4280420000
598,2012-05-17,4664280000
599,2012-05-18,4512470000
600,2012-05-21,3786750000
601,2012-05-22,4123680000
602,2012-05-23,4108330000
603,2012-05-24,3937670000
604,2012-05-25,2872660000
605,2012-05-29,3441640000
606,2012-05-30,3534290000
607,2012-05-31,4557620000
608,2012-06-01,4669350000
609,2012-06-04,4011960000
610,2012-06-05,3403230000
611,2012-06-06,4268360000
612,2012-06-07,4258140000
613,2012-06-08,3497190000
614,2012-06-11,3537530000
615,2012-06-12,3442920000
616,2012-06-13,3506510000
617,2012-06-14,3687720000
618,2012-06-15,4401570000
619,2012-06-18,3259430000
620,2012-06-19,3815350000
621,2012-06-20,3695700000
622,2012-06-21,4094470000
623,2012-06-22,5271490000
624,2012-06-25,3501820000
625,2012-06-26,3412940000
626,2012-06-27,3286910000
627,2012-06-28,3969370000
628,2012-06-29,4590480000
629,2012-07-02,3301650000
630,2012-07-03,2116390000
631,2012-07-05,3041520000
632,2012-07-06,2745140000
633,2012-07-09,2904860000
634,2012-07-10,3470600000
635,2012-07-11,3426290000
636,2012-07-12,3654440000
637,2012-07-13,3212930000
638,2012-07-16,2862720000
639,2012-07-17,3566680000
640,2012-07-18,3642630000
641,2012-07-19,4043360000
642,2012-07-20,3925020000
643,2012-07-23,3717180000
644,2012-07-24,3891290000
645,2012-07-25,3719170000
646,2012-07-26,4429300000
647,2012-07-27,4399010000
648,2012-07-30,3212060000
649,2012-07-31,3821570000
650,2012-08-01,4440920000
651,2012-08-02,4193740000
652,2012-08-03,3751170000
653,2012-08-06,3122050000
654,2012-08-07,3682490000
655,2012-08-08,3221790000
656,2012-08-09,3119610000
657,2012-08-10,2767980000
658,2012-08-13,2499990000
659,2012-08-14,2930900000
660,2012-08-15,2655750000
661,2012-08-16,3114100000
662,2012-08-17,2922990000
663,2012-08-20,2766320000
664,2012-08-21,3282950000
