,mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_max_depth,param_max_features,param_n_estimators,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,mean_test_score,std_test_score,rank_test_score
28,0.08479323387145996,0.0013558338704114036,0.006460046768188477,9.462431826808351e-05,1,log2,70,"{'max_depth': 1, 'max_features': 'log2', 'n_estimators': 70}",0.6746575342465754,0.678082191780822,0.678082191780822,0.678082191780822,0.6769759450171822,0.6771760109212448,0.001330130999384225,121
29,0.08932838439941407,0.00020777226977216625,0.006758499145507813,0.0001348646383461962,1,log2,75,"{'max_depth': 1, 'max_features': 'log2', 'n_estimators': 75}",0.6746575342465754,0.678082191780822,0.678082191780822,0.678082191780822,0.6769759450171822,0.6771760109212448,0.001330130999384225,121
30,0.037945890426635744,0.0003337669230861738,0.0031777381896972655,3.082471017483708e-05,1,,30,"{'max_depth': 1, 'max_features': None, 'n_estimators': 30}",0.6746575342465754,0.678082191780822,0.678082191780822,0.678082191780822,0.6769759450171822,0.6771760109212448,0.001330130999384225,121
31,0.04380507469177246,0.0008228071234512895,0.0035544872283935548,6.458945445930253e-05,1,,35,"{'max_depth': 1, 'max_features': None, 'n_estimators': 35}",0.6746575342465754,0.678082191780822,0.678082191780822,0.678082191780822,0.6769759450171822,0.6771760109212448,0.001330130999384225,121
32,0.049711751937866214,0.000870841246437233,0.003942728042602539,0.00013967886295590605,1,,40,"{'max_depth': 1, 'max_features': None, 'n_estimators': 40}",0.6746575342465754,0.678082191780822,0.678082191780822,0.678082191780822,0.6769759450171822,0.6771760109212448,0.001330130999384225,121
33,0.055945205688476565,0.0007713749093633416,0.00440673828125,0.0001222016886724554,1,,45,"{'max_depth': 1, 'max_features': None, 'n_estimators': 45}",0.6746575342465754,0.678082191780822,0.678082191780822,0.678082191780822,0.6769759450171822,0.6771760109212448,0.001330130999384225,121
34,0.062479400634765626,0.000722803970601978,0.004835367202758789,4.084966834722015e-05,1,,50,"{'max_depth': 1, 'max_features': None, 'n_estimators': 50}",0.6746575342465754,0.678082191780822,0.678082191780822,0.678082191780822,0.6769759450171822,0.6771760109212448,0.001330130999384225,121
35,0.0681887149810791,0.0005239529873350992,0.005269193649291992,9.159390199471253e-05,1,,55,"{'max_depth': 1, 'max_features': None, 'n_estimators': 55}",0.6746575342465754,0.678082191780822,0.678082191780822,0.678082191780822,0.6769759450171822,0.6771760109212448,0.001330130999384225,121
36,0.0748366355895996,0.0003739050582885849,0.005640602111816407,0.0001294224770469664,1,,60,"{'max_depth': 1, 'max_features': None, 'n_estimators': 60}",0.6746575342465754,0.678082191780822,0.678082191780822,0.678082191780822,0.6769759450171822,0.6771760109212448,0.001330130999384225,121
37,0.07992229461669922,0.0007211689909938745,0.005984306335449219,0.00011697282987848004,1,,65,"{'max_depth': 1, 'max_features': None, 'n_estimators': 65}",0.6746575342465754,0.678082191780822,0.678082191780822,0.678082191780822,0.6769759450171822,0.6771760109212448,0.001330130999384225,121
38,0.08593721389770508,0.0014975591730052,0.006343746185302734,5.5859717733471304e-05,1,,70,"{'max_depth': 1, 'max_features': None, 'n_estimators': 70}",0.6746575342465754,0.678082191780822,0.678082191780822,0.678082191780822,0.6769759450171822,0.6771760109212448,0.001330130999384225,121
39,0.09227361679077148,0.0015330527884036907,0.006757402420043945,0.0001020092328464329,1,,75,"{'max_depth': 1, 'max_features': None, 'n_estimators': 75}",0.6746575342465754,0.678082191780822,0.678082191780822,0.678082191780822,0.6769759450171822,0.6771760109212448,0.001330130999384225,121
40,0.038031578063964844,0.0005622292886568141,0.0033263206481933595,6.321260269855054e-05,3,auto,30,"{'max_depth': 3, 'max_features': 'auto', 'n_estimators': 30}",0.6917808219178082,0.684931506849315,0.684931506849315,0.6815068493150684,0.6804123711340206,0.6847126112131056,0.003970501410397709,113
41,0.04407095909118652,0.0009887861960347461,0.003674936294555664,0.0001284055623107716,3,auto,35,"{'max_depth': 3, 'max_features': 'auto', 'n_estimators': 35}",0.6917808219178082,0.6815068493150684,0.6952054794520548,0.7054794520547946,0.6769759450171822,0.6901897095513816,0.010113965069431304,101
42,0.049742698669433594,0.0005980950816792251,0.004145145416259766,7.701104637273502e-05,3,auto,40,"{'max_depth': 3, 'max_features': 'auto', 'n_estimators': 40}",0.684931506849315,0.684931506849315,0.6917808219178082,0.678082191780822,0.6838487972508591,0.684714964929624,0.004353482327393665,112
43,0.05584549903869629,0.0010185159212307037,0.004572486877441407,9.590137735085647e-05,3,auto,45,"{'max_depth': 3, 'max_features': 'auto', 'n_estimators': 45}",0.6952054794520548,0.678082191780822,0.678082191780822,0.7054794520547946,0.6838487972508591,0.6881396224638705,0.010689350121658708,103
44,0.06165313720703125,0.0002722282087201668,0.004913187026977539,2.6965805318736224e-05,3,auto,50,"{'max_depth': 3, 'max_features': 'auto', 'n_estimators': 50}",0.684931506849315,0.684931506849315,0.6815068493150684,0.6883561643835616,0.6769759450171822,0.6833403944828884,0.003849398127127284,117
45,0.06718888282775878,0.00029383248141839766,0.005340385437011719,8.340840151018114e-05,3,auto,55,"{'max_depth': 3, 'max_features': 'auto', 'n_estimators': 55}",0.684931506849315,0.684931506849315,0.6883561643835616,0.6952054794520548,0.6769759450171822,0.6860801205102858,0.005898765796719953,107
46,0.07409577369689942,0.0006768020485916474,0.00574798583984375,7.493513767538006e-05,3,auto,60,"{'max_depth': 3, 'max_features': 'auto', 'n_estimators': 60}",0.684931506849315,0.6883561643835616,0.684931506849315,0.684931506849315,0.6769759450171822,0.6840253259897379,0.0037659905613381525,115
47,0.07985873222351074,0.0008420569756067647,0.0062848091125488285,0.00019705566576313097,3,auto,65,"{'max_depth': 3, 'max_features': 'auto', 'n_estimators': 65}",0.6917808219178082,0.6917808219178082,0.684931506849315,0.6883561643835616,0.6735395189003437,0.6860777667937674,0.006764057113450127,109
48,0.08634734153747559,0.0011056089630652932,0.006620883941650391,0.0001283681587010374,3,auto,70,"{'max_depth': 3, 'max_features': 'auto', 'n_estimators': 70}",0.6883561643835616,0.6883561643835616,0.6883561643835616,0.708904109589041,0.6769759450171822,0.6901897095513816,0.010343287732458404,101
49,0.0921781063079834,0.0005034667922701062,0.007128190994262695,6.39046122551438e-05,3,auto,75,"{'max_depth': 3, 'max_features': 'auto', 'n_estimators': 75}",0.6952054794520548,0.684931506849315,0.6952054794520548,0.6746575342465754,0.6872852233676976,0.6874570446735394,0.007619866325159568,105
