,mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_learning_rate,param_n_estimators,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,mean_test_score,std_test_score,rank_test_score
20,0.038587093353271484,0.00034620246232522627,0.004556846618652344,8.158869103044122e-05,0.01,30,"{'learning_rate': 0.01, 'n_estimators': 30}",0.6746575342465754,0.678082191780822,0.678082191780822,0.678082191780822,0.6769759450171822,0.6771760109212448,0.001330130999384225,12
21,0.05260009765625,0.0015240976277891788,0.0059966564178466795,0.00019280062431938877,0.01,40,"{'learning_rate': 0.01, 'n_estimators': 40}",0.6746575342465754,0.678082191780822,0.678082191780822,0.678082191780822,0.6769759450171822,0.6771760109212448,0.001330130999384225,12
22,0.06641597747802734,0.0009356751325302263,0.0075794696807861325,3.694383394608729e-05,0.01,50,"{'learning_rate': 0.01, 'n_estimators': 50}",0.6746575342465754,0.678082191780822,0.678082191780822,0.678082191780822,0.6769759450171822,0.6771760109212448,0.001330130999384225,12
23,0.08080511093139649,0.0009499347491406954,0.009071254730224609,0.00017269818796109113,0.01,60,"{'learning_rate': 0.01, 'n_estimators': 60}",0.6746575342465754,0.678082191780822,0.678082191780822,0.678082191780822,0.6769759450171822,0.6771760109212448,0.001330130999384225,12
24,0.09453954696655273,0.0024231995726895672,0.010378599166870117,4.85402895724829e-05,0.01,70,"{'learning_rate': 0.01, 'n_estimators': 70}",0.6746575342465754,0.678082191780822,0.678082191780822,0.678082191780822,0.6769759450171822,0.6771760109212448,0.001330130999384225,12
25,0.10567331314086914,0.0004872506084615186,0.011813068389892578,5.2061708966778786e-05,0.01,80,"{'learning_rate': 0.01, 'n_estimators': 80}",0.6746575342465754,0.678082191780822,0.678082191780822,0.678082191780822,0.6769759450171822,0.6771760109212448,0.001330130999384225,12
26,0.11827306747436524,0.0019154534661589675,0.012668514251708984,8.264216648405985e-05,0.01,90,"{'learning_rate': 0.01, 'n_estimators': 90}",0.6746575342465754,0.678082191780822,0.678082191780822,0.678082191780822,0.6769759450171822,0.6771760109212448,0.001330130999384225,12
27,0.013634634017944337,0.0002928158878471239,0.0018004894256591797,6.25512214267168e-05,0.005,10,"{'learning_rate': 0.005, 'n_estimators': 10}",0.6746575342465754,0.678082191780822,0.678082191780822,0.678082191780822,0.6769759450171822,0.6771760109212448,0.001330130999384225,12
28,0.026497650146484374,0.0002532719746603623,0.0031963348388671874,9.14889600282026e-05,0.005,20,"{'learning_rate': 0.005, 'n_estimators': 20}",0.6746575342465754,0.678082191780822,0.678082191780822,0.678082191780822,0.6769759450171822,0.6771760109212448,0.001330130999384225,12
29,0.03985185623168945,0.0005007905699569988,0.0047146320343017575,6.643637128956207e-05,0.005,30,"{'learning_rate': 0.005, 'n_estimators': 30}",0.6746575342465754,0.678082191780822,0.678082191780822,0.678082191780822,0.6769759450171822,0.6771760109212448,0.001330130999384225,12
30,0.05246233940124512,0.0004694649381169803,0.006102848052978516,7.383425763157915e-05,0.005,40,"{'learning_rate': 0.005, 'n_estimators': 40}",0.6746575342465754,0.678082191780822,0.678082191780822,0.678082191780822,0.6769759450171822,0.6771760109212448,0.001330130999384225,12
31,0.0638852596282959,0.00041958422426790587,0.007329893112182617,7.725371230787889e-05,0.005,50,"{'learning_rate': 0.005, 'n_estimators': 50}",0.6746575342465754,0.678082191780822,0.678082191780822,0.678082191780822,0.6769759450171822,0.6771760109212448,0.001330130999384225,12
32,0.07736577987670898,0.00026560101944300425,0.00866079330444336,0.00016521495804945922,0.005,60,"{'learning_rate': 0.005, 'n_estimators': 60}",0.6746575342465754,0.678082191780822,0.678082191780822,0.678082191780822,0.6769759450171822,0.6771760109212448,0.001330130999384225,12
33,0.09406986236572265,0.004456517837196502,0.010372066497802734,0.000181512409492913,0.005,70,"{'learning_rate': 0.005, 'n_estimators': 70}",0.6746575342465754,0.678082191780822,0.678082191780822,0.678082191780822,0.6769759450171822,0.6771760109212448,0.001330130999384225,12
34,0.10184626579284668,0.000917417224709813,0.011522150039672852,0.0003482217608885122,0.005,80,"{'learning_rate': 0.005, 'n_estimators': 80}",0.6746575342465754,0.678082191780822,0.678082191780822,0.678082191780822,0.6769759450171822,0.6771760109212448,0.001330130999384225,12
35,0.11754121780395507,0.0012561324489590048,0.012903499603271484,0.00019192991195203412,0.005,90,"{'learning_rate': 0.005, 'n_estimators': 90}",0.6746575342465754,0.678082191780822,0.678082191780822,0.678082191780822,0.6769759450171822,0.6771760109212448,0.001330130999384225,12
36,0.013736248016357422,0.0005140688055592313,0.0018734455108642579,3.5523056159653085e-05,0.001,10,"{'learning_rate': 0.001, 'n_estimators': 10}",0.6746575342465754,0.678082191780822,0.678082191780822,0.678082191780822,0.6769759450171822,0.6771760109212448,0.001330130999384225,12
37,0.026372241973876952,0.00019872398953162254,0.003254604339599609,5.005527518779783e-05,0.001,20,"{'learning_rate': 0.001, 'n_estimators': 20}",0.6746575342465754,0.678082191780822,0.678082191780822,0.678082191780822,0.6769759450171822,0.6771760109212448,0.001330130999384225,12
38,0.038935375213623044,0.00012460799635118701,0.0046996593475341795,7.287101523046346e-05,0.001,30,"{'learning_rate': 0.001, 'n_estimators': 30}",0.6746575342465754,0.678082191780822,0.678082191780822,0.678082191780822,0.6769759450171822,0.6771760109212448,0.001330130999384225,12
39,0.052370643615722655,0.0006984837356150185,0.006035709381103515,0.00016856207705954465,0.001,40,"{'learning_rate': 0.001, 'n_estimators': 40}",0.6746575342465754,0.678082191780822,0.678082191780822,0.678082191780822,0.6769759450171822,0.6771760109212448,0.001330130999384225,12
40,0.06495532989501954,0.0012507324730881054,0.007527446746826172,0.00020995062642297985,0.001,50,"{'learning_rate': 0.001, 'n_estimators': 50}",0.6746575342465754,0.678082191780822,0.678082191780822,0.678082191780822,0.6769759450171822,0.6771760109212448,0.001330130999384225,12
41,0.07930908203125,0.0022172100123470646,0.008835887908935547,0.00020905280622220983,0.001,60,"{'learning_rate': 0.001, 'n_estimators': 60}",0.6746575342465754,0.678082191780822,0.678082191780822,0.678082191780822,0.6769759450171822,0.6771760109212448,0.001330130999384225,12
42,0.08930845260620117,0.00048102696763964263,0.009978818893432616,0.00016365329144303945,0.001,70,"{'learning_rate': 0.001, 'n_estimators': 70}",0.6746575342465754,0.678082191780822,0.678082191780822,0.678082191780822,0.6769759450171822,0.6771760109212448,0.001330130999384225,12
43,0.10504884719848633,0.0033487969490407325,0.011595726013183594,0.0002959420973492372,0.001,80,"{'learning_rate': 0.001, 'n_estimators': 80}",0.6746575342465754,0.678082191780822,0.678082191780822,0.678082191780822,0.6769759450171822,0.6771760109212448,0.001330130999384225,12
44,0.11604080200195313,0.0014203127464728076,0.012857961654663085,0.00010603644795580914,0.001,90,"{'learning_rate': 0.001, 'n_estimators': 90}",0.6746575342465754,0.678082191780822,0.678082191780822,0.678082191780822,0.6769759450171822,0.6771760109212448,0.001330130999384225,12
