,mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_max_depth,param_max_features,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,mean_test_score,std_test_score,rank_test_score
29,0.0010576725006103515,4.805406752170869e-05,0.000379180908203125,3.460293943156544e-05,36,sqrt,"{'max_depth': 36, 'max_features': 'sqrt'}",0.6883561643835616,0.6712328767123288,0.702054794520548,0.6917808219178082,0.6529209621993127,0.6812691239467118,0.01730381790588133,25
30,0.0010297775268554687,3.588984489145819e-05,0.0003386497497558594,1.4634007310130829e-05,36,log2,"{'max_depth': 36, 'max_features': 'log2'}",0.6952054794520548,0.6335616438356164,0.7054794520547946,0.6986301369863014,0.6563573883161512,0.6778468201289837,0.0279993006312888,32
31,0.0014251232147216796,9.165085561149906e-05,0.0003888130187988281,3.9748145601578896e-05,36,,"{'max_depth': 36, 'max_features': None}",0.702054794520548,0.6541095890410958,0.7054794520547946,0.6883561643835616,0.6597938144329897,0.681958762886598,0.02128314580188326,19
32,0.0011313915252685546,5.6035487757214434e-05,0.0004040241241455078,1.3850949873275172e-05,41,auto,"{'max_depth': 41, 'max_features': 'auto'}",0.6986301369863014,0.6472602739726028,0.7054794520547946,0.708904109589041,0.6529209621993127,0.6826389869604104,0.026840546641043746,17
33,0.0009616374969482422,2.0706265835159293e-05,0.00034089088439941405,1.5974685314489205e-05,41,sqrt,"{'max_depth': 41, 'max_features': 'sqrt'}",0.678082191780822,0.6541095890410958,0.6986301369863014,0.702054794520548,0.6735395189003437,0.6812832462458221,0.01755557771684186,21
34,0.0009946346282958985,1.4986196121174244e-05,0.00032067298889160156,8.364381622922433e-06,41,log2,"{'max_depth': 41, 'max_features': 'log2'}",0.6815068493150684,0.6643835616438356,0.6986301369863014,0.6952054794520548,0.6666666666666666,0.6812785388127854,0.014099906535748425,23
35,0.0013591766357421875,5.179434976227085e-05,0.0003536224365234375,3.406213071185063e-05,41,,"{'max_depth': 41, 'max_features': None}",0.6952054794520548,0.6541095890410958,0.708904109589041,0.6815068493150684,0.6597938144329897,0.6799039683660498,0.02072429470827069,30
36,0.0010604381561279297,5.669680034087687e-05,0.00038156509399414065,2.8180874341317075e-05,46,auto,"{'max_depth': 46, 'max_features': 'auto'}",0.6883561643835616,0.6541095890410958,0.702054794520548,0.708904109589041,0.6597938144329897,0.6826436943934472,0.02206963846665219,15
37,0.0010103225708007813,6.92564894135958e-05,0.00035223960876464846,9.229724873557245e-06,46,sqrt,"{'max_depth': 46, 'max_features': 'sqrt'}",0.6986301369863014,0.6746575342465754,0.7054794520547946,0.6952054794520548,0.6529209621993127,0.6853787129878077,0.01920757427693198,10
38,0.001092529296875,6.433266682025378e-05,0.00037317276000976564,2.1369221963835294e-05,46,log2,"{'max_depth': 46, 'max_features': 'log2'}",0.6952054794520548,0.6438356164383562,0.6883561643835616,0.684931506849315,0.6666666666666666,0.6757990867579908,0.018562079108838208,38
39,0.0014298439025878906,1.975188211975039e-05,0.00038094520568847655,2.2514289453869403e-05,46,,"{'max_depth': 46, 'max_features': None}",0.6986301369863014,0.6541095890410958,0.708904109589041,0.6883561643835616,0.6597938144329897,0.681958762886598,0.0215024398291384,19
